goal_id,bucket_id,metric_name,metric_unit,start_period,end_period,target_value_final_period,initial_value,minimum_viable_allocation,optimal_allocation_min,optimal_allocation_max,red_low_max,orange_low_max,green_min,green_max,orange_high_min,red_high_min,scenario_story
12,30,Community Engagement Score,score,1,24,80.0,55.0,0.011381205232594765,0.016258864617992523,0.017970324051465418,0.015574280844603364,0.016258864617992523,0.016258864617992523,0.017970324051465418,0.017970324051465418,0.018654907824854575,dynamic
13,31,API Response Time,ms,1,24,100.0,250.0,0.040954049183022305,0.05850578454717473,0.06466428818371943,0.056042383092556845,0.05850578454717473,0.05850578454717473,0.06466428818371943,0.06466428818371943,0.06712768963833732,overfunded
14,32,Page Load Time,seconds,1,24,1.5,3.5,0.02977297097643548,0.042532815680622116,0.047009954173319185,0.04074196028354329,0.042532815680622116,0.042532815680622116,0.047009954173319185,0.047009954173319185,0.048800809570398014,optimal
15,33,Performance Metric - APIs & Integrations,score,1,24,85.0,60.0,0.021053342833523572,0.03007620404789082,0.033242120263458276,0.02880983756166384,0.03007620404789082,0.03007620404789082,0.033242120263458276,0.033242120263458276,0.034508486749685256,dynamic
16,34,Feature Adoption Rate,percentage,1,24,65.0,30.0,0.032428046353105755,0.046325780504436795,0.048701461555946374,0.04537550808383296,0.046325780504436795,0.046325780504436795,0.048701461555946374,0.048701461555946374,0.049651733976550205,overfunded
17,35,Performance Metric - A/B Testing,score,1,24,85.0,60.0,0.019717309315318475,0.02816758473616925,0.031132593655766014,0.026981581168330545,0.02816758473616925,0.02816758473616925,0.031132593655766014,0.031132593655766014,0.03231859722360472,optimal
18,36,Launch Success Rate,percentage,1,24,95.0,75.0,0.014438946466910716,0.020627066381301025,0.021684864657265178,0.020203947070915364,0.020627066381301025,0.020627066381301025,0.021684864657265178,0.021684864657265178,0.02210798396765084,optimal
19,37,Code Quality Score,score,1,24,88.0,65.0,0.025079786701935426,0.03582826671705061,0.039599663213582256,0.03431970811843795,0.03582826671705061,0.03582826671705061,0.039599663213582256,0.039599663213582256,0.041108221812194916,underfunded
20,38,System Uptime,percentage,1,24,99.9,97.5,0.020152256243349796,0.028788937490499707,0.030265293259243282,0.028198395183002278,0.028788937490499707,0.028788937490499707,0.030265293259243282,0.030265293259243282,0.03085583556674071,dynamic
21,39,POC Success Rate,percentage,1,24,70.0,40.0,0.014813439484082548,0.021162056405832214,0.02224729006766976,0.020727962941097192,0.021162056405832214,0.021162056405832214,0.02224729006766976,0.02224729006766976,0.022681383532404783,optimal
22,40,Innovation Pipeline,projects,1,24,8.0,3.0,0.007866100755285302,0.011237286793264717,0.01373446163621243,0.010238416856085631,0.011237286793264717,0.011237286793264717,0.01373446163621243,0.01373446163621243,0.014733331573391515,overfunded
23,41,Time to Value,days,1,24,10.0,30.0,0.014964788577186623,0.021378269395980892,0.023628613542926252,0.02047813173720275,0.021378269395980892,0.021378269395980892,0.023628613542926252,0.023628613542926252,0.024528751201704394,overfunded
24,42,Ticket Resolution Time,hours,1,24,4.0,24.0,0.01340512294247892,0.019150175632112743,0.02116598359338777,0.018343852447602733,0.019150175632112743,0.019150175632112743,0.02116598359338777,0.02116598359338777,0.021972306777897778,underfunded
25,43,NPS Score,score,1,24,70.0,35.0,0.009843539427769478,0.014062199182527827,0.015542430675425493,0.013470106585368761,0.014062199182527827,0.014062199182527827,0.015542430675425493,0.015542430675425493,0.01613452327258456,overfunded
26,44,Infrastructure Reliability,percentage,1,24,99.95,98.0,0.02139319234249946,0.030561703346427806,0.03212897018470615,0.029934796611116466,0.030561703346427806,0.030561703346427806,0.03212897018470615,0.03212897018470615,0.032755876920017496,dynamic
27,45,Performance Metric - CI/CD Pipeline,score,1,24,85.0,60.0,0.014295131224146504,0.020421616034495008,0.022571259827599742,0.019561758517253114,0.020421616034495008,0.020421616034495008,0.022571259827599742,0.022571259827599742,0.023431117344841636,underfunded
28,46,Data Pipeline Reliability,percentage,1,24,99.5,95.0,0.01156636970885003,0.016523385298357188,0.017370738390580634,0.01618444406146781,0.016523385298357188,0.016523385298357188,0.017370738390580634,0.017370738390580634,0.017709679627470012,dynamic
29,47,Performance Metric - Analytics & Reporting,score,1,24,85.0,60.0,0.014095882071314535,0.020136974387592193,0.022256655902075585,0.019289101781798837,0.020136974387592193,0.020136974387592193,0.022256655902075585,0.022256655902075585,0.02310452850786894,underfunded
30,48,Budget Variance,percentage,1,24,5.0,15.0,0.012639370861428072,0.01805624408775439,0.019956901360149586,0.01729598117879631,0.01805624408775439,0.01805624408775439,0.019956901360149586,0.019956901360149586,0.020717164269107666,optimal
31,49,Performance Metric - Legal & Compliance,score,1,24,85.0,60.0,0.012356193563178068,0.017651705090254384,0.01950977931028116,0.01690847540224367,0.017651705090254384,0.017651705090254384,0.01950977931028116,0.01950977931028116,0.020253008998291872,dynamic
32,50,Time to Hire,days,1,24,25.0,60.0,0.010487217346823254,0.014981739066890364,0.01655876423182619,0.014350929000916033,0.014981739066890364,0.014981739066890364,0.01655876423182619,0.01655876423182619,0.017189574297800523,overfunded
33,51,Employee Satisfaction,score,1,24,85.0,65.0,0.010118986374009854,0.014455694820014079,0.01597734690633135,0.013847033985487171,0.014455694820014079,0.014455694820014079,0.01597734690633135,0.01597734690633135,0.01658600774085826,optimal
34,52,Operational Efficiency,score,1,24,88.0,65.0,0.0094319083085255,0.013474154726465001,0.014892486802935,0.012906821895877002,0.013474154726465001,0.013474154726465001,0.014892486802935,0.014892486802935,0.015459819633523,optimal
35,53,Vendor SLA Compliance,percentage,1,24,98.0,85.0,0.0097229769846502,0.013889967120928857,0.014602273127130336,0.013605044718448265,0.013889967120928857,0.013889967120928857,0.014602273127130336,0.014602273127130336,0.014887195529610929,underfunded
